This code extract the p and q value of RSA encryption with the fault injection attack.


---------------------------------------------------------
Plain Text = [31, 114, 171, 18], Fault free Cipher = 837699226871133609126451393685668537


---------------------------------------------------------
offset:180, iteration:0, Signature:837699226871133609126451393685668537
offset:188, iteration:2, Signature:837699226871133609126451393685668537
offset:188, iteration:3, Signature:837699226871133609126451393685668537
offset:188, iteration:4, Signature:837699226871133609126451393685668537
offset:189, iteration:0, Signature:837699226871133609126451393685668537
offset:189, iteration:1, Signature:837699226871133609126451393685668537
offset:189, iteration:2, Signature:837699226871133609126451393685668537
offset:189, iteration:3, Signature:837699226871133609126451393685668537
offset:189, iteration:4, Signature:837699226871133609126451393685668537
offset:190, iteration:0, Signature:837699226871133609126451393685668537
offset:190, iteration:1, Signature:837699226871133609126451393685668537
offset:190, iteration:2, Signature:837699226871133609126451393685668537
offset:190, iteration:3, Signature:837699226871133609126451393685668537
offset:190, iteration:4, Signature:837699226871133609126451393685668537
offset:191, iteration:0, Signature:837699226871133609126451393685668537
offset:191, iteration:1, Signature:837699226871133609126451393685668537
offset:191, iteration:2, Signature:837699226871133609126451393685668537
offset:191, iteration:3, Signature:837699226871133609126451393685668537
offset:191, iteration:4, Signature:837699226871133609126451393685668537
offset:192, iteration:0, Signature:837699226871133609126451393685668537
offset:192, iteration:1, Signature:837699226871133609126451393685668537
offset:192, iteration:2, Signature:837699226871133609126451393685668537
offset:192, iteration:3, Signature:837699226871133609126451393685668537
offset:192, iteration:4, Signature:837699226871133609126451393685668537
offset:193, iteration:0, Signature:-1
offset:193, iteration:1, Signature:-1
offset:193, iteration:2, Signature:837699226871133609126451393685668537
offset:193, iteration:3, Signature:837699226871133609126451393685668537
offset:193, iteration:4, Signature:837699226871133609126451393685668537
offset:194, iteration:0, Signature:837699226871133609126451393685668537
offset:194, iteration:1, Signature:837699226871133609126451393685668537
offset:194, iteration:2, Signature:837699226871133609126451393685668537
offset:194, iteration:3, Signature:837699226871133609126451393685668537
offset:194, iteration:4, Signature:837699226871133609126451393685668537
offset:195, iteration:0, Signature:837699226871133609126451393685668537
offset:195, iteration:1, Signature:837699226871133609126451393685668537
offset:195, iteration:2, Signature:837699226871133609126451393685668537
offset:195, iteration:3, Signature:837699226871133609126451393685668537
offset:195, iteration:4, Signature:837699226871133609126451393685668537
offset:196, iteration:0, Signature:-1
offset:196, iteration:1, Signature:837699226871133609126451393685668537
offset:196, iteration:2, Signature:837699226871133609126451393685668537
offset:196, iteration:3, Signature:837699226871133609126451393685668537
offset:196, iteration:4, Signature:837699226871133609126451393685668537
offset:197, iteration:0, Signature:837699226871133609126451393685668537
offset:197, iteration:1, Signature:837699226871133609126451393685668537
offset:197, iteration:2, Signature:837699226871133609126451393685668537
offset:197, iteration:3, Signature:837699226871133609126451393685668537
offset:197, iteration:4, Signature:837699226871133609126451393685668537
offset:198, iteration:0, Signature:837699226871133609126451393685668537
offset:198, iteration:1, Signature:837699226871133609126451393685668537
offset:198, iteration:2, Signature:837699226871133609126451393685668537
offset:198, iteration:3, Signature:837699226871133609126451393685668537
offset:198, iteration:4, Signature:837699226871133609126451393685668537
offset:199, iteration:0, Signature:837699226871133609126451393685668537
offset:199, iteration:1, Signature:837699226871133609126451393685668537
offset:199, iteration:2, Signature:837699226871133609126451393685668537
offset:199, iteration:3, Signature:837699226871133609126451393685668537
offset:199, iteration:4, Signature:837699226871133609126451393685668537
offset:200, iteration:0, Signature:837699226871133609126451393685668537
offset:200, iteration:1, Signature:837699226871133609126451393685668537
offset:200, iteration:2, Signature:837699226871133609126451393685668537
offset:200, iteration:3, Signature:837699226871133609126451393685668537
offset:200, iteration:4, Signature:837699226871133609126451393685668537
offset:201, iteration:0, Signature:837699226871133609126451393685668537
offset:201, iteration:1, Signature:837699226871133609126451393685668537
offset:201, iteration:2, Signature:837699226871133609126451393685668537
offset:201, iteration:3, Signature:837699226871133609126451393685668537
offset:201, iteration:4, Signature:837699226871133609126451393685668537
offset:202, iteration:0, Signature:837699226871133609126451393685668537
offset:202, iteration:1, Signature:837699226871133609126451393685668537
offset:202, iteration:2, Signature:837699226871133609126451393685668537
offset:202, iteration:3, Signature:837699226871133609126451393685668537
offset:202, iteration:4, Signature:837699226871133609126451393685668537
offset:203, iteration:0, Signature:837699226871133609126451393685668537
offset:203, iteration:1, Signature:837699226871133609126451393685668537
offset:203, iteration:2, Signature:837699226871133609126451393685668537
offset:203, iteration:3, Signature:837699226871133609126451393685668537
offset:203, iteration:4, Signature:837699226871133609126451393685668537
offset:204, iteration:0, Signature:837699226871133609126451393685668537
offset:204, iteration:1, Signature:837699226871133609126451393685668537
offset:204, iteration:2, Signature:837699226871133609126451393685668537
offset:204, iteration:3, Signature:837699226871133609126451393685668537
offset:204, iteration:4, Signature:837699226871133609126451393685668537
offset:205, iteration:0, Signature:837699226871133609126451393685668537
offset:205, iteration:1, Signature:837699226871133609126451393685668537
offset:205, iteration:2, Signature:837699226871133609126451393685668537
offset:205, iteration:3, Signature:837699226871133609126451393685668537
offset:205, iteration:4, Signature:837699226871133609126451393685668537
offset:206, iteration:0, Signature:837699226871133609126451393685668537
offset:206, iteration:1, Signature:837699226871133609126451393685668537
offset:206, iteration:2, Signature:837699226871133609126451393685668537
offset:206, iteration:3, Signature:837699226871133609126451393685668537
offset:206, iteration:4, Signature:837699226871133609126451393685668537
offset:207, iteration:0, Signature:837699226871133609126451393685668537
offset:207, iteration:1, Signature:837699226871133609126451393685668537
offset:207, iteration:2, Signature:837699226871133609126451393685668537
offset:207, iteration:3, Signature:837699226871133609126451393685668537
offset:207, iteration:4, Signature:837699226871133609126451393685668537
offset:208, iteration:0, Signature:837699226871133609126451393685668537
offset:208, iteration:1, Signature:180560276822527727879745716153778205
---------------------------------------------------------


Faulty Cipher = 180560276822527727879745716153778205


p = 1084024262488859977, q = 962476599190059883
